ms,sensor1
461290,0.451
462301,0.449
463312,0.449
464323,0.448
465334,0.444
466345,0.445
467356,0.451
468367,0.452
469378,0.449
470389,0.445
471404,0.444
472415,0.444
473426,0.449
474437,0.452
475448,0.446
476459,0.442
477470,0.449
478481,0.448
479509,0.447
480520,0.446
481531,0.449
482542,0.449
483553,0.448
484564,0.448
485575,0.45
486586,0.445
487597,0.449
488608,0.451
489619,0.448
490630,0.447
491641,0.445
492652,0.449
493663,0.442
494674,0.444
495685,0.441
496694,0.446
497705,0.449
498716,0.448
499727,0.45
500738,0.448
501749,0.445
502760,0.45
503771,0.449
504782,0.45
505793,0.446
506804,0.44
507815,0.454
508826,0.456
509837,0.449
510848,0.439
511859,0.446
512870,0.446
513881,0.442
514892,0.448
515903,0.447
516914,0.442
517925,0.45
518936,0.445
519947,0.445
520958,0.442
521969,0.448
522984,0.445
523995,0.448
525006,0.449
526017,0.442
527028,0.446
528039,0.447
529050,0.442
530061,0.447
531072,0.448
532083,0.439
533094,0.442
534105,0.448
535116,0.451
536127,0.444
537138,0.449
538149,0.445
539160,0.446
540171,0.445
541182,0.446
542193,0.448
543204,0.448
544215,0.453
545226,0.443
546237,0.449
547248,0.449
548268,0.447
549283,0.448
550294,0.444
551305,0.449
552316,0.449
553327,0.443
554338,0.449
555349,0.437
556360,0.464
557371,0.448
558382,0.445
559393,0.449
560404,0.449
561415,0.449
562426,0.445
563437,0.447
564448,0.447
565459,0.444
566470,0.445
567481,0.444
568492,0.442
569503,0.449
570514,0.443
571525,0.444
572536,0.445
573547,0.452
574562,0.447
575573,0.448
576584,0.456
577595,0.445
578606,0.45
579617,0.444
580628,0.445
581639,0.449
582650,0.444
583661,0.448
584672,0.454
585683,0.443
586694,0.45
587705,0.447
588716,0.438
589727,0.434
590738,0.443
591749,0.448
592760,0.449
593771,0.452
594782,0.439
595793,0.445
596804,0.449
597815,0.448
598826,0.449
599837,0.444
600852,0.45
601863,0.459
602874,0.445
603885,0.442
604896,0.443
605907,0.44
606918,0.445
607929,0.443
608940,0.438
609951,0.448
610962,0.449
611973,0.453
612984,0.445
613995,0.453
615006,0.447
616017,0.445
617028,0.435
618039,0.449
619050,0.437
620061,0.448
621072,0.449
622083,0.445
623094,0.454
624105,0.437
625116,0.445
626125,0.445
627136,0.448
628147,0.442
629158,0.451
630169,0.444
631180,0.445
632191,0.448
633202,0.445
634213,0.446
635224,0.445
636235,0.445
637246,0.446
638257,0.445
639268,0.449
640279,0.449
641290,0.442
642301,0.451
643312,0.443
644323,0.451
645334,0.451
646345,0.443
647356,0.457
648367,0.448
649378,0.445
650389,0.443
651400,0.449
652415,0.442
653426,0.447
654437,0.444
655448,0.44
656459,0.444
657470,0.449
658481,0.447
659492,0.442
660503,0.446
661514,0.445
662525,0.445
663536,0.444
664547,0.448
665558,0.448
666594,0.437
667605,0.443
668616,0.446
669627,0.447
670638,0.437
671649,0.446
672660,0.45
673671,0.445
674682,0.449
675693,0.449
676704,0.442
677715,0.443
678730,0.448
679741,0.453
680752,0.45
681763,0.448
682774,0.445
683785,0.44
684796,0.45
685807,0.448
686818,0.441
687829,0.443
688840,0.46
689851,0.447
690862,0.448
691873,0.448
692884,0.447
693895,0.445
694906,0.446
695917,0.445
696928,0.454
697939,0.453
698950,0.438
699961,0.437
700972,0.448
701983,0.449
702994,0.441
704009,0.449
705020,0.453
706031,0.442
707042,0.448
708053,0.447
709064,0.448
710075,0.439
711086,0.444
712097,0.448
713108,0.439
714119,0.441
715130,0.442
716141,0.448
717152,0.447
718163,0.443
719174,0.436
720185,0.443
721196,0.444
722207,0.437
723249,0.445
724260,0.449
725271,0.445
726282,0.449
727293,0.446
728304,0.451
729315,0.447
730330,0.448
731341,0.442
732352,0.449
733363,0.438
734374,0.449
735385,0.451
736396,0.449
737407,0.441
738418,0.445
739429,0.447
740440,0.441
741451,0.449
742462,0.44
743473,0.447
744484,0.442
745495,0.445
746506,0.447
747517,0.444
748528,0.443
749539,0.445
750550,0.45
751561,0.447
752572,0.435
753583,0.437
754594,0.447
755603,0.448
756615,0.445
757626,0.443
758637,0.45
759648,0.446
760659,0.449
761670,0.455
762681,0.449
763692,0.446
764703,0.447
765714,0.437
766725,0.445
767736,0.437
768747,0.444
769758,0.447
770769,0.45
771780,0.441
772791,0.441
773802,0.451
774813,0.442
775824,0.445
776835,0.443
777846,0.448
778857,0.435
779868,0.453
780879,0.443
781894,0.437
782905,0.447
783916,0.444
784927,0.445
785938,0.446
786949,0.449
787960,0.444
788971,0.449
789982,0.45
790993,0.444
792004,0.456
793015,0.442
794026,0.451
795037,0.447
796048,0.448
797059,0.449
798070,0.451
799081,0.448
800092,0.444
801103,0.448
802114,0.449
803135,0.442
804146,0.445
805157,0.456
806168,0.448
807179,0.449
808194,0.447
809205,0.445
810216,0.45
811227,0.453
812238,0.442
813249,0.447
814260,0.448
815271,0.445
816282,0.448
817293,0.448
818304,0.446
819315,0.447
820326,0.438
821337,0.445
822348,0.449
823359,0.444
824370,0.451
825381,0.445
826392,0.447
827403,0.442
828414,0.447
829425,0.445
830436,0.447
831447,0.444
832458,0.444
833471,0.453
834482,0.45
835493,0.444
836504,0.447
837515,0.451
838526,0.449
839537,0.445
840548,0.444
841559,0.45
842570,0.456
843581,0.453
844592,0.446
845603,0.441
846614,0.448
847625,0.443
848636,0.447
849647,0.442
850658,0.442
851669,0.448
852680,0.447
853691,0.447
854702,0.447
855713,0.447
856724,0.443
857735,0.441
858746,0.444
859760,0.445
860771,0.45
861782,0.445
862793,0.447
863804,0.447
864815,0.445
865826,0.452
866837,0.447
867848,0.447
868859,0.457
869870,0.442
870881,0.453
871892,0.448
872903,0.445
873914,0.449
874925,0.455
875936,0.453
876947,0.441
877958,0.443
878969,0.437
879980,0.446
880991,0.446
882002,0.446
883013,0.446
884024,0.446
885033,0.441
886044,0.444
887055,0.45
888066,0.442
889077,0.443
890088,0.442
891124,0.441
892135,0.453
893147,0.446
894158,0.447
895169,0.441
896180,0.442
897191,0.445
898202,0.446
899213,0.446
900224,0.447
901235,0.442
902246,0.447
903257,0.445
904268,0.448
905279,0.448
