ms,EC
461148,0.918
462159,0.917
463170,0.916
464181,0.919
465192,0.916
466203,0.917
467214,0.918
468225,0.919
469236,0.920
470247,0.915
471258,0.916
472269,0.920
473280,0.919
474291,0.922
475302,0.919
476313,0.917
477324,0.916
478335,0.922
479346,0.919
480357,0.916
481368,0.919
482379,0.926
483390,0.914
484409,0.917
485420,0.918
486431,0.918
487442,0.918
488466,0.917
489477,0.917
490488,0.917
491499,0.918
492510,0.916
493521,0.918
494532,0.918
495543,0.916
496554,0.917
497565,0.920
498576,0.918
499587,0.920
500598,0.922
501609,0.916
502620,0.918
503631,0.920
504642,0.920
505653,0.918
506664,0.918
507675,0.919
508686,0.909
509697,0.917
510708,0.918
511719,0.917
512730,0.917
513741,0.917
514752,0.920
515763,0.923
516774,0.918
517785,0.918
518796,0.918
519807,0.920
520818,0.920
521829,0.918
522840,0.921
523851,0.918
524862,0.917
525877,0.917
526888,0.917
527899,0.918
528910,0.919
529921,0.917
530932,0.918
531943,0.922
532954,0.917
533965,0.920
534976,0.918
535987,0.917
536998,0.918
538009,0.916
539020,0.919
540031,0.919
541042,0.918
542053,0.920
543064,0.918
544075,0.919
545086,0.919
546097,0.922
547108,0.922
548119,0.916
549130,0.918
550141,0.921
551152,0.922
552163,0.918
553174,0.920
554185,0.916
555196,0.911
556207,0.918
557218,0.922
558229,0.915
559240,0.917
560251,0.918
561262,0.919
562273,0.922
563288,0.916
564299,0.918
565310,0.901
566321,0.917
567332,0.917
568343,0.921
569354,0.918
570365,0.918
571376,0.918
572387,0.921
573398,0.920
574409,0.918
575420,0.920
576431,0.917
577442,0.916
578453,0.922
579464,0.918
580475,0.917
581486,0.913
582498,0.918
583509,0.918
584520,0.916
585531,0.918
586542,0.916
587553,0.920
588564,0.920
589575,0.918
590586,0.916
591597,0.918
592608,0.920
593619,0.919
594630,0.918
595641,0.920
596652,0.917
597664,0.918
598675,0.918
599690,0.918
600701,0.918
601712,0.916
602723,0.917
603734,0.917
604745,0.922
605757,0.916
606768,0.918
607779,0.917
608790,0.918
609801,0.917
610812,0.920
611823,0.918
612834,0.918
613845,0.916
614856,0.918
615867,0.922
616878,0.920
617889,0.919
618900,0.916
619911,0.916
620922,0.924
621933,0.919
622944,0.915
623955,0.921
624966,0.920
625977,0.921
626988,0.918
627999,0.917
629010,0.916
630021,0.919
631032,0.921
632043,0.917
633054,0.922
634065,0.919
635076,0.919
636087,0.918
637102,0.920
638113,0.918
639124,0.916
640135,0.919
641146,0.921
642157,0.918
643168,0.915
644179,0.918
645190,0.921
646201,0.918
647212,0.922
648223,0.920
649234,0.919
650245,0.919
651256,0.919
652267,0.917
653278,0.917
654289,0.929
655300,0.915
656311,0.921
657322,0.921
658333,0.916
659344,0.916
660355,0.919
661366,0.919
662377,0.922
663388,0.918
664399,0.914
665410,0.918
666421,0.917
667432,0.922
668443,0.922
669454,0.919
670465,0.920
671476,0.918
672487,0.923
673502,0.922
674513,0.917
675524,0.917
676535,0.920
677546,0.920
678581,0.920
679592,0.920
680603,0.919
681614,0.922
682625,0.918
683636,0.918
684647,0.919
685658,0.903
686669,0.919
687680,0.920
688691,0.920
689702,0.921
690723,0.918
691734,0.919
692745,0.918
693756,0.918
694767,0.920
695778,0.919
696789,0.920
697800,0.921
698811,0.916
699822,0.922
700833,0.916
701844,0.915
702855,0.919
703866,0.919
704877,0.920
705888,0.916
706899,0.921
707910,0.917
708921,0.917
709932,0.919
710947,0.918
711958,0.920
712969,0.920
713980,0.920
714991,0.918
716002,0.919
717013,0.918
718024,0.922
719035,0.918
720046,0.916
721057,0.917
722068,0.918
723079,0.923
724090,0.919
725101,0.921
726112,0.921
727123,0.922
728134,0.919
729145,0.917
730164,0.917
731175,0.921
732186,0.917
733207,0.918
734218,0.919
735229,0.923
736240,0.922
737251,0.919
738262,0.918
739273,0.920
740284,0.919
741295,0.921
742306,0.918
743317,0.918
744328,0.919
745339,0.919
746350,0.917
747365,0.922
748376,0.918
749387,0.922
750398,0.922
751409,0.917
752420,0.918
753431,0.921
754442,0.918
755453,0.915
756464,0.919
757475,0.923
758486,0.916
759497,0.921
760508,0.920
761519,0.922
762530,0.923
763541,0.922
764552,0.919
765563,0.918
766574,0.921
767585,0.919
768596,0.927
769607,0.919
770618,0.921
771629,0.921
772640,0.916
773651,0.918
774662,0.919
775673,0.920
776684,0.921
777695,0.921
778706,0.918
779717,0.918
780728,0.919
781739,0.922
782750,0.918
783761,0.924
784776,0.923
785787,0.917
786798,0.918
787809,0.918
788820,0.918
789831,0.921
790842,0.919
791853,0.922
792864,0.918
793875,0.918
794886,0.919
795897,0.920
796908,0.925
797919,0.918
798930,0.920
799941,0.920
800952,0.922
801963,0.922
802974,0.918
803985,0.918
804996,0.913
806007,0.921
807018,0.918
808029,0.918
809040,0.917
810051,0.919
811062,0.920
812073,0.925
813084,0.916
814095,0.918
815106,0.924
816117,0.919
817128,0.918
818139,0.918
819150,0.922
820161,0.923
821172,0.918
822187,0.918
823198,0.922
824209,0.917
825220,0.920
826231,0.913
827242,0.921
828253,0.922
829264,0.917
830275,0.922
831286,0.918
832297,0.920
833308,0.919
834319,0.918
835330,0.921
836341,0.921
837352,0.922
838363,0.919
839374,0.918
840385,0.919
841396,0.917
842407,0.920
843418,0.921
844429,0.916
845440,0.919
846451,0.923
847462,0.921
848473,0.920
849484,0.922
850495,0.920
851506,0.920
852517,0.922
853528,0.920
854539,0.920
855550,0.922
856561,0.920
857572,0.918
858587,0.920
859598,0.914
860609,0.918
861620,0.920
862631,0.916
863642,0.919
864653,0.921
865664,0.919
866675,0.919
867686,0.917
868697,0.917
869708,0.918
870719,0.916
871730,0.918
872741,0.918
873752,0.923
874763,0.917
